comparison_role,runtime,endpoint,context_length,warmups,measured_runs,median_ms,q1_ms,q3_ms,p95_ms,mean_ms,median_ratio_to_pytorch_cpu,fixed_contexts_cycled,includes_sampling,generated_events,graph_executions
reference,PyTorch CPU,model_only,12,10,200,2.521896,2.50088575,2.56282325,2.70625,2.548721855,1.0,30,false,,
diagnostic,ONNX Runtime Python CPU,model_only,12,10,200,0.546396,0.5423645,0.5512189999999999,0.6233815499999996,0.56086746,0.21666079806621685,30,false,,
deployed_pipeline,ONNX Runtime Web Wasm,model_only,12,10,200,1.7699999995529652,1.7449999991804361,1.8149999994784594,1.9052500011399387,1.7858749999664725,0.7018528914566522,30,false,,
deployed_pipeline,ONNX Runtime Web Wasm,sdk_end_to_end_step,12,10,200,1.7850000001490116,1.75,1.8200000002980232,1.9452500003390014,1.7976000000257044,,30,false,,
deployed_pipeline,ONNX Runtime Web WebGPU,model_only,12,10,200,4.8500000005587935,4.739999999757856,5.156249999068677,6.361500001233071,5.2664000000245865,1.923156228709984,30,false,,
deployed_pipeline,ONNX Runtime Web WebGPU,sdk_end_to_end_step,12,10,200,4.894999999552965,4.774999999906868,5.180000000167638,6.3312500000931315,5.127375000026077,,30,false,,
reference,PyTorch CPU,model_only,24,10,200,2.905563,2.8817395,2.9491354999999997,3.0426416499999998,2.9198812599999995,1.0,30,false,,
diagnostic,ONNX Runtime Python CPU,model_only,24,10,200,0.899646,0.89608325,0.90494825,1.0307103999999998,0.9185222749999999,0.30962880515755464,30,false,,
deployed_pipeline,ONNX Runtime Web Wasm,model_only,24,10,200,3.239999999292195,3.219999998807907,3.275000000372529,3.4399999995715915,3.2625499999988823,1.1151023052304132,30,false,,
deployed_pipeline,ONNX Runtime Web Wasm,sdk_end_to_end_step,24,10,200,3.25,3.225000001490116,3.2799999993294477,3.4710000006482002,3.28074999996461,,30,false,,
deployed_pipeline,ONNX Runtime Web WebGPU,model_only,24,10,200,4.910000000149012,4.735000000800937,5.138749999925494,5.612000001221895,5.122700000032783,1.6898618271739458,30,false,,
deployed_pipeline,ONNX Runtime Web WebGPU,sdk_end_to_end_step,24,10,200,4.894999999552965,4.7349999994039536,5.1112499996088445,5.755500000808388,5.097474999912083,,30,false,,
reference,PyTorch CPU,model_only,48,10,200,3.942667,3.91226075,4.0018125,4.0754708,3.9600899899999997,1.0,30,false,,
diagnostic,ONNX Runtime Python CPU,model_only,48,10,200,1.6185835000000002,1.6117395,1.628323,1.8743472499999998,1.64601979,0.41053010563661607,30,false,,
deployed_pipeline,ONNX Runtime Web Wasm,model_only,48,10,200,6.570000000298023,6.53499999968335,6.6112499996088445,6.7210000006482,6.585525000011549,1.666384708700487,30,false,,
deployed_pipeline,ONNX Runtime Web Wasm,sdk_end_to_end_step,48,10,200,6.582499999552965,6.550000000745058,6.630000000819564,6.75074999993667,6.606775000002235,,30,false,,
deployed_pipeline,ONNX Runtime Web WebGPU,model_only,48,10,200,4.775000000372529,4.600000001024455,4.96750000026077,8.188750000484287,5.190849999990315,1.2111091300311512,30,false,,
deployed_pipeline,ONNX Runtime Web WebGPU,sdk_end_to_end_step,48,10,200,4.7650000005960464,4.6187499994412065,4.986250001005828,8.262999999802558,5.228349999962375,,30,false,,
reference,PyTorch CPU,full_trajectory,16+32,2,30,112.241812,111.71093775,113.07452025,120.89537849999999,113.46077486666668,1.0,1,true,32,33
deployed_pipeline,ONNX Runtime Web Wasm,full_trajectory,16+32,2,30,149.660000000149,147.35000000009313,152.23624999914318,154.14074999950827,149.92283333316445,1.3333712039515988,1,true,32,33
deployed_pipeline,ONNX Runtime Web WebGPU,full_trajectory,16+32,2,30,176.45000000018626,168.0762499999255,195.81375000067055,221.48375000031663,182.43500000014902,1.572052311487864,1,true,32,33
